100  8.80051e-11
109.699  9.6152e-11
120.338  1.05047e-10
132.009  1.14712e-10
144.812  1.25278e-10
158.857  1.36851e-10
174.263  1.4952e-10
191.164  1.63386e-10
209.705  1.78537e-10
230.043  1.95098e-10
252.354  2.13217e-10
276.829  2.32995e-10
303.677  2.54625e-10
333.129  2.7829e-10
365.438  3.04202e-10
400.881  3.32496e-10
439.76  3.63402e-10
482.411  3.97132e-10
529.198  4.33945e-10
580.523  4.7417e-10
636.825  5.18221e-10
698.588  5.66307e-10
766.341  6.18766e-10
840.665  6.75993e-10
922.198  7.38387e-10
1011.64  8.06561e-10
1109.75  8.81038e-10
1217.38  9.62217e-10
1335.45  1.05065e-09
1464.97  1.14697e-09
1607.05  1.25203e-09
1762.91  1.36637e-09
1933.89  1.49101e-09
2121.45  1.62664e-09
2327.2  1.77427e-09
2552.91  1.93474e-09
2800.5  2.1095e-09
3072.11  2.29943e-09
3370.06  2.50556e-09
3696.91  2.72983e-09
4055.46  2.97266e-09
4448.78  3.23535e-09
4880.25  3.52037e-09
5353.57  3.82876e-09
5872.79  4.16196e-09
6442.36  4.52087e-09
7067.18  4.90694e-09
7752.6  5.32291e-09
8504.49  5.77052e-09
9329.3  6.25103e-09
10234.1  6.76569e-09
11226.7  7.31827e-09
12315.5  7.90822e-09
13509.9  8.5394e-09
14820.2  9.21871e-09
16257.6  9.94352e-09
17834.3  1.07201e-08
19564  1.15596e-08
21461.4  1.24525e-08
23542.9  1.33976e-08
25826.2  1.43997e-08
28331  1.54609e-08
31078.7  1.65879e-08
34092.9  1.77754e-08
37399.4  1.90304e-08
41026.6  2.03503e-08
45005.6  2.17437e-08
49370.5  2.32102e-08
54158.7  2.47557e-08
59411.3  2.63721e-08
65173.4  2.80701e-08
71494.3  2.98398e-08
78428.2  3.16936e-08
86034.6  3.36273e-08
94378.8  3.56441e-08
103532  3.77416e-08
113573  3.99161e-08
124588  4.21735e-08
136672  4.45114e-08
149927  4.69245e-08
164468  4.94216e-08
180419  5.19961e-08
197917  5.46455e-08
217112  5.73708e-08
238169  6.0168e-08
261268  6.30372e-08
286607  6.59765e-08
314404  6.89916e-08
344896  7.20742e-08
378346  7.52282e-08
415040  7.8452e-08
455294  8.17542e-08
499451  8.51343e-08
547890  8.86086e-08
601028  9.21653e-08
659319  9.58281e-08
723263  9.95903e-08
793410  1.03473e-07
870359  1.07474e-07
954772  1.11595e-07
1.04737e+06  1.15841e-07
1.14895e+06  1.20214e-07
1.26038e+06  1.24721e-07
1.38262e+06  1.29368e-07
1.51672e+06  1.34157e-07
1.66382e+06  1.39105e-07
1.82518e+06  1.44217e-07
2.0022e+06  1.49498e-07
2.19639e+06  1.54952e-07
2.4094e+06  1.60591e-07
2.64308e+06  1.66419e-07
2.89942e+06  1.72443e-07
3.18063e+06  1.78674e-07
3.4891e+06  1.85119e-07
3.82749e+06  1.91784e-07
4.19871e+06  1.98679e-07
4.60592e+06  2.05812e-07
5.05263e+06  2.13183e-07
5.54266e+06  2.20796e-07
6.08022e+06  2.28655e-07
6.66992e+06  2.36789e-07
7.31681e+06  2.45204e-07
8.02643e+06  2.53901e-07
8.80488e+06  2.62861e-07
9.65883e+06  2.72093e-07
1.05956e+07  2.81613e-07
1.16232e+07  2.9143e-07
1.27505e+07  3.01541e-07
1.39871e+07  3.11943e-07
1.53437e+07  3.22676e-07
1.68318e+07  3.3373e-07
1.84642e+07  3.45108e-07
2.0255e+07  3.56823e-07
2.22195e+07  3.68891e-07
2.43744e+07  3.81333e-07
2.67384e+07  3.94135e-07
2.93317e+07  4.07304e-07
3.21764e+07  4.20867e-07
3.52971e+07  4.34836e-07
3.87204e+07  4.49206e-07
4.24757e+07  4.63998e-07
4.65953e+07  4.79203e-07
5.11143e+07  4.94848e-07
5.60717e+07  5.10942e-07
6.15099e+07  5.27487e-07
6.74754e+07  5.44492e-07
7.40196e+07  5.61979e-07
8.11984e+07  5.79982e-07
8.90735e+07  5.98489e-07
9.77124e+07  6.17504e-07
1.07189e+08  6.37046e-07
1.17585e+08  6.57132e-07
1.28989e+08  6.77792e-07
1.41499e+08  6.99039e-07
1.55223e+08  7.20887e-07
1.70277e+08  7.43343e-07
1.86791e+08  7.66422e-07
2.04907e+08  7.90135e-07
2.24781e+08  8.14528e-07
2.46581e+08  8.39613e-07
2.70496e+08  8.65382e-07
2.9673e+08  8.91857e-07
3.25509e+08  9.19063e-07
3.57079e+08  9.47028e-07
3.9171e+08  9.75798e-07
4.297e+08  1.00533e-06
4.71375e+08  1.03566e-06
5.17092e+08  1.0668e-06
5.67243e+08  1.09877e-06
6.22257e+08  1.13161e-06
6.82607e+08  1.16537e-06
7.4881e+08  1.20012e-06
8.21434e+08  1.23585e-06
9.01102e+08  1.27256e-06
9.88496e+08  1.31027e-06
1.08437e+09  1.34897e-06
1.18953e+09  1.38867e-06
1.3049e+09  1.42943e-06
1.43146e+09  1.47123e-06
1.57029e+09  1.51412e-06
1.72259e+09  1.55814e-06
1.88965e+09  1.60332e-06
2.07292e+09  1.64968e-06
2.27397e+09  1.69727e-06
2.49451e+09  1.74609e-06
2.73644e+09  1.79623e-06
3.00184e+09  1.84765e-06
3.29297e+09  1.90035e-06
3.61234e+09  1.95437e-06
3.96269e+09  2.00976e-06
4.34701e+09  2.06656e-06
4.76861e+09  2.12477e-06
5.2311e+09  2.18443e-06
5.73844e+09  2.24553e-06
6.29499e+09  2.30812e-06
6.90551e+09  2.37222e-06
7.57525e+09  2.43783e-06
8.30994e+09  2.50503e-06
